Video Information,,,,,,,,,,Dolphin Information,,,,,,,,,,,,,,,,,,Vessel and Swimmer Information,,,,,,,,NOTES
Posted_Date,Interaction_Date,Encounter_No,Platform,Search_Term,Hashtags,Video_Length,Time_Point,Video_Quality,Video_Location,Dolphin_Presence,General_Location,BSS,DSS,Total_Min,Total_Max,Total_Best,Calves_Min,Calves_Max,Calves_Best,YoY_Min,YoY_Max,YoY_Best,Sex,Subgroups,Group_Cohesion,PDGBehav,HIBehav,Vessels_10m,Vessels_50m,PDVBehav,Vessel_Names,Swimmers_10,Swimmers_50,PDSBehav,IRC,
09/20/2023,NA,0008,FB,Icacos_Dolphins,#IcacosDolphins#PuertoRicoParadise,0:40,0:15,3,BO,Y,Icacos_WestBeach,1,0,3,3,3,1,1,1,0,0,0,UNK,1,1,RML,NA,1,1,NP,NA,0,0,NA,D2,
09/20/2023,NA,0008,FB,Icacos_Dolphins,#IcacosDolphins#PuertoRicoParadise,0:40,0:20,3,BO,Y,Icacos_WestBeach,1,0,3,3,3,1,1,1,0,0,0,UNK,1,1,RML,NA,1,1,NP,NA,0,0,NA,D2,
09/20/2023,NA,0008,FB,Icacos_Dolphins,#IcacosDolphins#PuertoRicoParadise,0:40,0:25,3,BO,Y,Icacos_WestBeach,1,0,2,3,3,0,1,1,0,0,0,UNK,2,2,RML,NA,1,1,NP,NA,0,0,NA,D2,
09/20/2023,NA,0008,FB,Icacos_Dolphins,#IcacosDolphins#PuertoRicoParadise,0:40,0:30,3,BO,Y,Icacos_WestBeach,1,0,3,3,3,0,1,1,0,0,0,UNK,2,2,RML,NA,1,1,NP,NA,0,0,NA,NA,Calf appears to be milling about 10 m away while the adults are rubbing on the mooring line
09/20/2023,NA,0008,FB,Icacos_Dolphins,#IcacosDolphins#PuertoRicoParadise,0:40,0:35,3,BO,Y,Icacos_WestBeach,1,0,2,3,3,0,1,1,0,0,0,UNK,2,2,RML,NA,1,1,NP,NA,0,0,NA,NA,
09/20/2023,NA,0008,FB,Icacos_Dolphins,#IcacosDolphins#PuertoRicoParadise,0:40,0:40,3,BO,Y,Icacos_WestBeach,1,0,2,3,3,0,1,1,0,0,0,UNK,2,2,RML,NA,1,1,NP,NA,0,0,NA,D2,
01/01/2024,01/01/2024,0009,FB,Icacos_Dolphins,#captainrobpuertorico#puertorico#icacos#beachlife,0:46,0:05,2,BO,N,Icacos,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,NP,Ocean_Adventures,2,2,NP,NA,
01/01/2024,01/01/2024,0009,FB,Icacos_Dolphins,#captainrobpuertorico#puertorico#icacos#beachlife,0:46,0:10,2,BO,Y,Icacos,1,1,1,2,2,0,0,0,0,0,0,UNK,1,0,TRV,NA,2,2,NP,Ocean_Adventures,2,2,NA,NA,
01/01/2024,01/01/2024,0009,FB,Icacos_Dolphins,#captainrobpuertorico#puertorico#icacos#beachlife,0:46,0:15,2,BO,N,Icacos,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2,2,NP,Ocean_Adventures,2,2,NP,NA,
01/01/2024,01/01/2024,0009,FB,Icacos_Dolphins,#captainrobpuertorico#puertorico#icacos#beachlife,0:46,0:20,2,BO,Y,Icacos,1,1,3,5,4,0,0,0,0,0,0,UNK,2,1,HI,AGR,2,2,NP,Ocean_Adventures,2,2,CHA,NA,One dolphin slaps tail within 10 ft of swimmers
01/01/2024,01/01/2024,0009,FB,Icacos_Dolphins,#captainrobpuertorico#puertorico#icacos#beachlife,0:46,0:25,2,BO,Y,Icacos,1,1,4,6,5,1,1,1,0,0,0,UNK,2,2,ML,NA,2,2,NP,Ocean_Adventures,2,2,CHA,NA,
01/01/2024,01/01/2024,0009,FB,Icacos_Dolphins,#captainrobpuertorico#puertorico#icacos#beachlife,0:46,0:30,2,BO,Y,Icacos,1,1,4,6,4,1,1,1,0,0,0,UNK,2,2,HI,AGR,2,2,NP,Ocean_Adventures,2,2,NP,"D1,H1",One dolphin slaps within touching distance of swimmer
01/01/2024,01/01/2024,0009,FB,Icacos_Dolphins,#captainrobpuertorico#puertorico#icacos#beachlife,0:46,0:35,2,BO,N,Icacos,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2,2,NP,Ocean_Adventures,2,2,NP,NA,
01/01/2024,01/01/2024,0009,FB,Icacos_Dolphins,#captainrobpuertorico#puertorico#icacos#beachlife,0:46,0:40,2,BO,N,Icacos,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2,2,NP,Ocean_Adventures,2,2,NP,NA,
01/01/2024,01/01/2024,0009,FB,Icacos_Dolphins,#captainrobpuertorico#puertorico#icacos#beachlife,0:46,0:45,2,BO,N,Icacos,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2,2,NP,Ocean_Adventures,2,2,NP,NA,
01/19/2023,NA,0010,FB,Icacos_Dolphins,#islandbreezetaxi#FajardoPR#icacosisland#Puertorico#dolphins#FajardoTaxi,0:20,0:02,3,DR,Y,Icacos,1,0,3,3,3,0,0,0,0,0,0,UNK,1,1,SOC,NA,0,0,NA,NA,0,0,NA,NA,Sousa_PR apears to be the original creator
01/19/2023,NA,0010,FB,Icacos_Dolphins,#islandbreezetaxi#FajardoPR#icacosisland#Puertorico#dolphins#FajardoTaxi,0:20,0:06,3,DR,Y,Icacos,1,0,4,4,4,0,0,0,0,0,0,UNK,1,1,SOC,NA,0,0,NA,NA,0,0,NA,NA,Video clipped
01/19/2023,NA,0010,FB,Icacos_Dolphins,#islandbreezetaxi#FajardoPR#icacosisland#Puertorico#dolphins#FajardoTaxi,0:20,0:09,3,DR,Y,Icacos,1,0,4,4,4,0,0,0,0,0,0,UNK,1,1,SOC,NA,0,0,NA,NA,0,0,NA,NA,Video clipped. Spinning playful behavior
01/19/2023,NA,0010,FB,Icacos_Dolphins,#islandbreezetaxi#FajardoPR#icacosisland#Puertorico#dolphins#FajardoTaxi,0:20,0:11,3,DR,Y,Icacos,1,0,4,4,4,0,0,0,0,0,0,UNK,1,1,TRV,NA,0,0,NA,NA,0,0,NA,NA,Video clipped
01/19/2023,NA,0010,FB,Icacos_Dolphins,#islandbreezetaxi#FajardoPR#icacosisland#Puertorico#dolphins#FajardoTaxi,0:20,0:12,3,DR,Y,Icacos,1,0,1,1,1,0,0,0,0,0,0,UNK,1,NA,TRV,NA,0,0,NA,NA,2,2,CHA,NA,Video clipped
01/19/2023,NA,0010,FB,Icacos_Dolphins,#islandbreezetaxi#FajardoPR#icacosisland#Puertorico#dolphins#FajardoTaxi,0:20,0:15,3,DR,Y,Icacos,1,0,4,4,4,0,0,0,0,0,0,UNK,1,2,TRV,NA,0,9,NP,NA,4,4,CHA,NA,Video clipped
01/19/2023,NA,0010,FB,Icacos_Dolphins,#islandbreezetaxi#FajardoPR#icacosisland#Puertorico#dolphins#FajardoTaxi,0:20,0:17,3,DR,Y,Icacos,1,0,4,4,4,0,0,0,0,0,0,UNK,1,1,TRV,NA,0,0,NA,NA,0,0,NA,NA,Video clipped
01/19/2023,NA,0010,FB,Icacos_Dolphins,#islandbreezetaxi#FajardoPR#icacosisland#Puertorico#dolphins#FajardoTaxi,0:20,0:20,3,DR,Y,Icacos,1,0,4,4,4,0,0,0,0,0,0,UNK,1,1,SOC,NA,0,0,NA,NA,0,0,NA,NA,Video clipped
03/13/2020,NA,0011,FB,Icacos_Dolphins,#icacos#PuertoRico,1:00,0:05,3,BO,Y,Icacos,2,2,2,2,2,0,0,0,0,0,0,UNK,1,0,ML,NA,1,1,NP,Reef_Sniper_II,0,0,NA,NA,Both dolphins look like juveniles 
03/13/2020,NA,0011,FB,Icacos_Dolphins,#icacos#PuertoRico,1:00,0:10,3,BO,Y,Icacos,2,2,2,2,2,0,0,0,0,0,0,UNK,1,0,ML,NA,1,1,NP,Reef_Sniper_II,0,0,NA,NA,
03/13/2020,NA,0011,FB,Icacos_Dolphins,#icacos#PuertoRico,1:00,0:15,3,BO,Y,Icacos,2,2,2,2,2,0,0,0,0,0,0,UNK,1,0,ML,NA,1,1,NP,Reef_Sniper_II,0,0,NA,NA,
03/13/2020,NA,0011,FB,Icacos_Dolphins,#icacos#PuertoRico,1:00,0:20,3,BO,Y,Icacos,2,2,2,2,2,0,0,0,0,0,0,UNK,1,0,ML,NA,1,1,NP,Reef_Sniper_II,0,0,NA,NA,
03/13/2020,NA,0011,FB,Icacos_Dolphins,#icacos#PuertoRico,1:00,0:25,3,BO,Y,Icacos,2,2,2,2,2,0,0,0,0,0,0,UNK,1,0,ML,NA,1,1,NP,Reef_Sniper_II,0,0,NA,NA,
03/13/2020,NA,0011,FB,Icacos_Dolphins,#icacos#PuertoRico,1:00,0:30,3,BO,Y,Icacos,2,2,2,2,2,0,0,0,0,0,0,UNK,1,0,ML,NA,1,1,NP,Reef_Sniper_II,0,0,NA,NA,
03/13/2020,NA,0011,FB,Icacos_Dolphins,#icacos#PuertoRico,1:00,0:35,3,BO,Y,Icacos,2,2,2,2,2,0,0,0,0,0,0,UNK,1,0,ML,NA,1,1,NP,Reef_Sniper_II,0,0,NA,NA,
03/13/2020,NA,0011,FB,Icacos_Dolphins,#icacos#PuertoRico,1:00,0:40,3,BO,Y,Icacos,2,2,2,2,2,0,0,0,0,0,0,UNK,1,0,ML,NA,1,1,NP,Reef_Sniper_II,0,0,NA,NA,
03/13/2020,NA,0011,FB,Icacos_Dolphins,#icacos#PuertoRico,1:00,0:45,3,BO,Y,Icacos,2,2,2,2,2,0,0,0,0,0,0,UNK,1,0,ML,NA,1,1,NP,Reef_Sniper_II,0,0,NA,NA,
03/13/2020,NA,0011,FB,Icacos_Dolphins,#icacos#PuertoRico,1:00,0:50,3,BO,Y,Icacos,2,2,2,2,2,0,0,0,0,0,0,UNK,1,0,ML,NA,1,1,NP,Reef_Sniper_II,0,0,NA,NA,
03/13/2020,NA,0011,FB,Icacos_Dolphins,#icacos#PuertoRico,1:00,0:55,3,BO,Y,Icacos,2,2,2,2,2,0,0,0,0,0,0,UNK,1,0,ML,NA,1,1,NP,Reef_Sniper_II,0,0,NA,NA,
03/13/2020,NA,0011,FB,Icacos_Dolphins,#icacos#PuertoRico,1:00,1:00,3,BO,Y,Icacos,2,2,2,2,2,0,0,0,0,0,0,UNK,1,0,ML,NA,1,1,NP,Reef_Sniper_II,0,0,NA,NA,
02/19/2022,NA,0012,FB,Ronney_Robles_Dolphins,NA,0:22,0:05,3,BO,Y,Offshore,1,0,1,1,1,0,0,0,0,0,0,UNK,1,NA,ML,NA,1,1,NP,Reef_Sniper_II,2,2,NP,NA,
02/19/2022,NA,0012,FB,Ronney_Robles_Dolphins,NA,0:22,0:10,3,BO,Y,Offshore,1,0,1,1,1,0,0,0,0,0,0,UNK,1,NA,HI,RC,1,1,NP,Reef_Sniper_II,2,2,TCH,"D1,D2",milling but remaining close to swimmers
